time_ms,I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
223.0,19,15,0,-10,6,6,-18,-7,-8,6,8,14
224.0,20,17,0,-11,7,7,-19,-8,-9,7,9,15
225.0,21,17,-1,-11,7,7,-20,-8,-9,7,10,16
226.0,22,18,-1,-12,7,7,-21,-9,-10,8,10,18
227.0,23,19,-1,-13,8,7,-22,-10,-10,9,11,20
228.0,24,19,-1,-14,9,7,-23,-10,-11,9,12,21
229.0,25,20,-2,-15,9,8,-24,-11,-11,10,15,22
230.0,26,21,-2,-15,10,8,-26,-11,-11,10,15,24
231.0,28,22,-2,-16,11,8,-27,-12,-11,11,16,26
232.0,30,22,-2,-16,12,8,-28,-13,-12,12,17,27
233.0,31,23,-2,-17,12,8,-28,-13,-12,12,17,28
234.0,32,24,-2,-18,13,8,-29,-14,-12,13,19,30
235.0,33,25,-3,-19,13,8,-30,-14,-12,14,21,32
236.0,35,25,-3,-20,14,9,-32,-15,-12,14,22,33
237.0,36,26,-3,-20,14,9,-33,-15,-11,15,22,34
238.0,36,26,-4,-22,15,9,-33,-16,-11,16,24,35
239.0,37,27,-4,-23,16,9,-34,-17,-10,16,25,36
240.0,38,27,-4,-23,16,9,-34,-17,-9,17,25,38
241.0,38,27,-5,-24,17,9,-34,-18,-9,18,26,40
242.0,38,28,-5,-24,17,9,-35,-18,-7,18,27,40
243.0,39,28,-5,-25,18,9,-35,-18,-6,19,28,42
244.0,40,28,-6,-25,19,9,-35,-18,-4,19,30,42
245.0,40,28,-6,-26,19,9,-35,-18,-3,21,31,43
246.0,40,28,-7,-26,20,9,-35,-17,-2,21,32,44
247.0,41,28,-7,-27,20,9,-35,-17,-1,22,32,44
248.0,41,28,-7,-27,21,9,-34,-17,1,23,34,45
249.0,41,27,-8,-28,21,9,-34,-17,3,23,34,45
250.0,42,27,-8,-28,22,9,-34,-16,4,24,34,46
251.0,42,27,-8,-29,22,9,-33,-16,4,25,35,46
252.0,42,27,-9,-29,23,9,-33,-16,4,25,35,47
253.0,42,27,-9,-29,23,9,-33,-16,4,26,36,47
254.0,43,27,-9,-30,23,9,-32,-16,3,26,36,47
255.0,43,27,-10,-30,24,9,-32,-16,2,26,36,47
256.0,43,27,-10,-30,24,9,-31,-16,0,26,36,47
257.0,42,27,-10,-30,24,8,-30,-16,-2,26,36,47
258.0,42,26,-10,-30,25,8,-30,-16,-5,26,36,46
259.0,42,25,-11,-30,25,8,-29,-16,-7,25,36,45
260.0,41,23,-11,-30,25,8,-27,-16,-10,24,36,45
261.0,40,23,-11,-30,25,7,-26,-16,-13,24,35,44
262.0,39,21,-12,-30,25,7,-24,-17,-15,23,35,43
263.0,39,20,-12,-30,26,6,-23,-17,-19,22,34,42
264.0,38,18,-13,-29,26,6,-22,-17,-26,20,32,40
265.0,37,17,-13,-29,26,6,-20,-17,-26,19,31,39
266.0,36,16,-13,-28,26,5,-18,-17,-28,18,30,37
267.0,35,15,-14,-27,26,5,-16,-18,-31,16,29,35
268.0,32,12,-14,-27,25,4,-15,-18,-33,15,28,33
269.0,30,10,-14,-26,25,3,-14,-18,-35,13,26,30
270.0,28,10,-14,-25,25,3,-12,-19,-35,12,25,30
271.0,28,9,-14,-24,24,2,-9,-19,-37,9,24,27
272.0,25,7,-14,-22,24,2,-7,-19,-37,7,22,25
273.0,23,5,-14,-21,23,1,-5,-19,-37,5,22,23
274.0,20,3,-14,-21,22,1,-4,-19,-37,3,20,21
275.0,18,3,-13,-20,21,1,-2,-19,-37,2,17,18
276.0,15,2,-13,-19,21,0,-1,-19,-36,0,15,15
277.0,13,1,-13,-17,20,0,0,-19,-35,-2,13,12
278.0,13,1,-12,-16,19,0,2,-19,-34,-2,13,12
279.0,10,0,-12,-15,18,0,3,-19,-33,-3,11,9
280.0,8,-1,-11,-14,17,0,4,-19,-32,-5,9,7
281.0,7,-1,-11,-13,17,0,6,-19,-30,-7,8,5
282.0,6,-2,-10,-12,16,0,7,-18,-29,-9,7,4
283.0,3,-3,-10,-11,14,0,7,-18,-26,-9,5,2
284.0,3,-4,-9,-10,12,0,8,-17,-26,-10,4,1
285.0,1,-4,-8,-8,11,0,9,-17,-24,-11,3,-1
286.0,1,-4,-8,-7,11,-1,9,-16,-23,-12,1,-2
287.0,0,-5,-7,-6,10,-1,10,-16,-23,-13,0,-3
288.0,-2,-6,-7,-5,10,-1,10,-15,-22,-13,-1,-3
289.0,-3,-7,-6,-4,8,-1,11,-15,-21,-14,-2,-4
